l3938,u314,KILLED
l3460,u314,KILLED
l402,u314,KILLED
l1165,u314,KILLED
l428,u314,KILLED
l1522,u314,KILLED
l2748,u314,KILLED
l3484,u314,KILLED
l3171,u314,KILLED
u1500,u314,KILLED
u416,u314,KILLED
l1168,u314,KILLED
l2749,u314,SURVIVED
l3551,u314,SURVIVED
l448,u314,SURVIVED
l2255,u314,SURVIVED
u1488,u314,SURVIVED
l679,u314,SURVIVED
l785,u314,SURVIVED
l3173,u314,SURVIVED
u974,u314,SURVIVED
u1072,u314,SURVIVED
l2333,u314,SURVIVED
l323,u314,SURVIVED
u1266,u314,SURVIVED
l891,u314,SURVIVED
u1404,u314,SURVIVED
l2411,u314,SURVIVED
l2458,u314,SURVIVED
u619,u314,SURVIVED
l1009,u314,SURVIVED
u683,u314,SURVIVED
l360,u314,SURVIVED
l766,u314,SURVIVED
l582,u314,SURVIVED
u1732,u314,SURVIVED
l1162,u314,SURVIVED
l3348,u314,SURVIVED
l332,u314,SURVIVED
l729,u314,SURVIVED
l3910,u314,SURVIVED
l2351,u314,SURVIVED
l2051,u314,SURVIVED
u1723,u314,SURVIVED
u600,u314,SURVIVED
u424,u314,SURVIVED
u1576,u314,SURVIVED
l2739,u314,SURVIVED
u569,u314,SURVIVED
l350,u314,SURVIVED
l2323,u314,SURVIVED
l1627,u314,SURVIVED
l2283,u314,SURVIVED
l3666,u314,SURVIVED
u1663,u314,SURVIVED
l1171,u314,SURVIVED
l711,u314,SURVIVED
l1682,u314,SURVIVED
l863,u314,SURVIVED
l1531,u314,SURVIVED
l624,u314,SURVIVED
u1643,u314,SURVIVED
l493,u314,SURVIVED
l534,u314,SURVIVED
l3359,u314,SURVIVED
l765,u314,SURVIVED
l399,u314,SURVIVED
l2835,u314,SURVIVED
l3481,u314,SURVIVED
l793,u314,SURVIVED
u910,u314,SURVIVED
l843,u314,SURVIVED
l3437,u314,SURVIVED
l449,u314,SURVIVED
l2291,u314,SURVIVED
u1634,u314,SURVIVED
l370,u314,SURVIVED
l1258,u314,SURVIVED
l1691,u314,SURVIVED
l2863,u314,SURVIVED
l3109,u314,SURVIVED
l670,u314,SURVIVED
l1788,u314,SURVIVED
l2837,u314,SURVIVED
l2306,u314,SURVIVED
l342,u314,SURVIVED
l738,u314,SURVIVED
u762,u314,SURVIVED
l438,u314,SURVIVED
u1646,u314,SURVIVED
u585,u314,SURVIVED
u501,u314,SURVIVED
l2631,u314,SURVIVED
l845,u314,SURVIVED
l369,u314,SURVIVED
l969,u314,SURVIVED
l3191,u314,SURVIVED
