ID,User_ID,Game_ID,Points,Role,Active
5655,6,1158,0,DEFENDER,1
5656,3,1159,0,ATTACKER,1
5657,4,1159,0,DEFENDER,1
5658,100,1159,0,OBSERVER,1
5659,5,1159,0,ATTACKER,1
5660,6,1159,0,DEFENDER,1
5661,3,1160,0,ATTACKER,1
5662,4,1160,0,DEFENDER,1
5663,100,1160,0,OBSERVER,1
5664,5,1160,0,ATTACKER,1
5665,6,1160,2,DEFENDER,1
5666,3,1161,0,ATTACKER,1
5667,4,1161,0,DEFENDER,1
5668,100,1161,0,OBSERVER,1
5669,5,1161,0,ATTACKER,1
5670,6,1161,0,DEFENDER,1
5671,3,1162,0,ATTACKER,1
5672,4,1162,0,DEFENDER,1
5673,100,1162,0,OBSERVER,1
5674,5,1162,0,ATTACKER,1
5675,6,1162,0,DEFENDER,1
5676,3,1163,0,ATTACKER,1
5677,4,1163,0,DEFENDER,1
5678,100,1163,0,OBSERVER,1
5679,5,1163,0,ATTACKER,1
5680,6,1163,3,DEFENDER,1
5681,3,1164,0,ATTACKER,1
5682,4,1164,0,DEFENDER,1
5683,100,1164,0,OBSERVER,1
5684,5,1164,0,ATTACKER,1
5685,6,1164,1,DEFENDER,1
5686,3,1165,0,ATTACKER,1
5687,4,1165,0,DEFENDER,1
5688,100,1165,0,OBSERVER,1
5689,5,1165,0,ATTACKER,1
5690,6,1165,0,DEFENDER,1
5691,3,1166,0,ATTACKER,1
5692,4,1166,0,DEFENDER,1
5693,100,1166,0,OBSERVER,1
5694,5,1166,0,ATTACKER,1
5695,6,1166,0,DEFENDER,1
5696,3,1167,0,ATTACKER,1
5697,4,1167,0,DEFENDER,1
5698,100,1167,0,OBSERVER,1
5699,5,1167,0,ATTACKER,1
5700,6,1167,0,DEFENDER,1
5701,3,1168,0,ATTACKER,1
5702,4,1168,0,DEFENDER,1
5703,100,1168,0,OBSERVER,1
5704,5,1168,0,ATTACKER,1
5705,6,1168,0,DEFENDER,1
5706,3,1169,0,ATTACKER,1
5707,4,1169,0,DEFENDER,1
5708,100,1169,0,OBSERVER,1
5709,5,1169,0,ATTACKER,1
5710,6,1169,0,DEFENDER,1
5711,3,1170,0,ATTACKER,1
5712,4,1170,0,DEFENDER,1
5713,100,1170,0,OBSERVER,1
5714,5,1170,0,ATTACKER,1
5716,3,1171,0,ATTACKER,1
5717,4,1171,0,DEFENDER,1
5718,100,1171,0,OBSERVER,1
5719,5,1171,0,ATTACKER,1
5720,6,1171,1,DEFENDER,1
5721,3,1172,0,ATTACKER,1
5722,3,1173,0,ATTACKER,1
5723,3,1174,0,ATTACKER,1
5724,4,1172,0,DEFENDER,1
5725,4,1173,0,DEFENDER,1
5726,4,1174,0,DEFENDER,1
5727,3,1175,0,ATTACKER,1
5728,100,1172,0,OBSERVER,1
5729,3,1176,0,ATTACKER,1
5730,100,1173,0,OBSERVER,1
5731,100,1174,0,OBSERVER,1
5732,4,1175,0,DEFENDER,1
5733,4,1176,0,DEFENDER,1
5734,100,1175,0,OBSERVER,1
5735,100,1176,0,OBSERVER,1
5736,5,1174,0,ATTACKER,1
5737,5,1173,0,ATTACKER,1
5738,5,1176,0,ATTACKER,1
5739,5,1172,0,ATTACKER,1
5740,5,1175,0,ATTACKER,1
5741,6,1174,0,DEFENDER,1
5742,6,1176,1,DEFENDER,1
5743,6,1173,0,DEFENDER,1
5744,6,1172,2,DEFENDER,1
5745,6,1175,2,DEFENDER,1
5746,3,1177,0,ATTACKER,1
5747,4,1177,0,DEFENDER,1
5748,100,1177,0,OBSERVER,1
5749,5,1177,0,ATTACKER,1
5750,6,1177,0,DEFENDER,1
5751,3,1178,0,ATTACKER,1
5752,4,1178,0,DEFENDER,1
5753,100,1178,0,OBSERVER,1
5754,5,1178,0,ATTACKER,1
5755,6,1178,0,DEFENDER,1
5756,3,1179,0,ATTACKER,1
5757,4,1179,0,DEFENDER,1
5758,100,1179,0,OBSERVER,1
5759,5,1179,0,ATTACKER,1
5760,6,1179,0,DEFENDER,1
5761,3,1180,0,ATTACKER,1
5762,4,1180,0,DEFENDER,1
5763,100,1180,0,OBSERVER,1
5764,5,1180,0,ATTACKER,1
5765,6,1180,0,DEFENDER,1
5766,3,1181,0,ATTACKER,1
5767,4,1181,0,DEFENDER,1
5768,100,1181,0,OBSERVER,1
5769,5,1181,0,ATTACKER,1
5770,6,1181,1,DEFENDER,1
5771,3,1182,0,ATTACKER,1
5772,4,1182,0,DEFENDER,1
5773,100,1182,0,OBSERVER,1
5774,5,1182,0,ATTACKER,1
5775,6,1182,2,DEFENDER,1
5776,3,1183,0,ATTACKER,1
5777,4,1183,0,DEFENDER,1
5778,100,1183,0,OBSERVER,1
